,month,Erie,Michigan,Ontario,Clair,Superior
0,Jan,183.65000000018043,176.63000000000324,175.40000000028868,174.94565217392255,76.62999999999874
1,Feb,183.65000000006972,176.62999999999323,175.4000000002734,174.90869565218122,76.63000000000457
2,Mar,183.65000000004915,176.63000000000108,175.40000000002271,175.01304347826905,76.62999999996362
3,Apr,183.65000000021863,176.63000000001634,175.4000000002234,175.12391304351803,76.6299999999999
4,May,183.64999999998864,176.38043478260875,175.4000000000595,175.20652173911114,76.6299999997259
5,Jun,183.65000000001686,176.45782608695774,175.4000000000033,175.27173913043768,76.63000000000822
6,Jul,183.65000000004588,176.4895652174054,175.40000000013217,175.29695652173075,76.62999999999762
7,Aug,183.64999999999364,176.47043478259891,175.4000000000439,175.25130434781735,76.62999999998102
8,Sep,183.65000000005344,176.41260869567571,175.40000000009192,175.17869565219434,76.62999999994635
9,Oct,183.6500000001052,176.34434782607417,175.40000000136956,175.06956521738343,76.63000000000085
10,Nov,183.65000000015417,176.63000000000568,175.40000000019876,174.98652173915306,76.63000000000429
11,Dec,183.65000000001257,176.63000000000696,175.39999999999804,174.98391304349335,76.63000000000704
