Month,Objective_Value,Scenario
No_Environmental_Impact,706.2675399294906,No_Environmental_Impact
No_Environmental_Impact,706.3410946923964,No_Environmental_Impact
No_Environmental_Impact,706.153081836698,No_Environmental_Impact
No_Environmental_Impact,706.0968248586796,No_Environmental_Impact
No_Environmental_Impact,706.0434203733739,No_Environmental_Impact
No_Environmental_Impact,705.9698513153955,No_Environmental_Impact
No_Environmental_Impact,705.9134739003437,No_Environmental_Impact
No_Environmental_Impact,705.9247284710501,No_Environmental_Impact
No_Environmental_Impact,705.9876276701965,No_Environmental_Impact
No_Environmental_Impact,706.0064234259077,No_Environmental_Impact
No_Environmental_Impact,706.0289062882109,No_Environmental_Impact
No_Environmental_Impact,706.1107853205832,No_Environmental_Impact
Flow_Increase,704.8713098942359,Flow_Increase
Flow_Increase,704.9816420385946,Flow_Increase
Flow_Increase,704.6996227550471,Flow_Increase
Flow_Increase,704.6152372880193,Flow_Increase
Flow_Increase,704.535130560061,Flow_Increase
Flow_Increase,704.4247769730933,Flow_Increase
Flow_Increase,704.3402108505154,Flow_Increase
Flow_Increase,704.3570927065749,Flow_Increase
Flow_Increase,704.4514415052947,Flow_Increase
Flow_Increase,704.4796351388616,Flow_Increase
Flow_Increase,704.5133594323164,Flow_Increase
Flow_Increase,704.6361779808747,Flow_Increase
Flow_Decrease,704.8713098942359,
Flow_Decrease,704.9816420385946,
Flow_Decrease,704.6996227550471,
Flow_Decrease,704.6152372880193,
Flow_Decrease,704.535130560061,
Flow_Decrease,704.4247769730933,
Flow_Decrease,704.3402108505154,
Flow_Decrease,704.3570927065749,
Flow_Decrease,704.4514415052947,
Flow_Decrease,704.4796351388616,
Flow_Decrease,704.5133594323164,
Flow_Decrease,704.6361779808747,
